,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_WorldMarketShare,CZE_EUMarketShare
12,CZE,10410,1668116.0,2022,1349,28,0,1.6386860903125862,-1.8972482999457383,0.2753703174918037,1.299316789410373,-0.4304386874222272,0.10158748990199051,Ovce živé,Sheep: live,0.27537031749180363,1695215676.0,718502236.0,ROU,0.42384119388004055,0.0886538222526352,0.2724880275677444,0.000984014024655586,0.002321657353895834
13,CZE,10420,422.0,2022,1349,21,0,1.6386860903125862,-3.2555879241251207,0.21414312214848316,1.299316789410373,-0.46748514710541605,0.0001699754889609426,Kozy živé,Goats: live,0.21414312214848313,256309729.99999997,7076382.0,FRA,0.027608713879102447,0.30910017447608706,0.17437631831465386,1.6464454938952183e-06,5.963499426684427e-05
14,CZE,10511,39894778.0,2022,1349,33,1,1.6386860903125862,0.17567079976055525,0.3289707011695602,1.299316789410373,-0.0,2.5755625094313603,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",0.32897070116956006,1599126791.0,822939164.0,NLD,0.5146178330771272,0.08121637086097329,0.12205264640967833,0.024947851680386237,0.04847840489944163
15,CZE,10512,2914718.0,2022,1349,12,1,1.6386860903125862,2.3877220066105784,0.37806405954038896,1.299316789410373,0.0,1.77092883295392,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g",0.37806405954038885,169916039.0,85890898.0,FRA,0.5054902321493029,0.14847767744449614,0.267588254554268,0.017153872095617764,0.03393512080872644
16,CZE,10513,6716810.0,2022,1349,10,1,1.6386860903125862,2.6198388190546145,0.3713754354442593,1.299316789410373,0.0,22.363742474072996,"Kachny, živé, o hmotnosti <= 185 g","Poultry: live, ducks, weighing not more than 185g",0.3713754354442595,31006841.0,27002747.0,FRA,0.8708641747800107,0.15683846601605678,0.197779821215346,0.2166234864106279,0.2487454331961115
17,CZE,10514,139017.0,2022,1349,7,1,1.6386860903125862,3.1865371331287933,0.4158870923010883,1.299316789410373,0.0,4.325998511008242,"Husy, živé, o hmotnosti <= 185 g","Poultry: live, geese, weighing not more than 185g",0.41588709230108845,3317573.0,3118014.0,POL,0.9398478948315531,0.46998216435558715,0.5303436247391193,0.041903222626902256,0.04458511090713512
18,CZE,10515,5340.0,2022,1349,5,0,1.6386860903125862,2.081976424783563,0.22356088901329954,1.299316789410373,0.2715879964989763,0.1995789348747348,"Perličky, živé, o hmotnosti <= 185 g","Poultry: live, guinea fowls, weighing not more than 185g",0.2235608890132995,2762266.0,1734424.0,FRA,0.6278989785922138,0.40371868307540226,0.9109593244008092,0.0019331954272325692,0.0030788319349824493
19,CZE,10594,31202397.0,2022,1349,24,1,1.6386860903125862,1.2300540641933468,0.35865862458106584,1.299316789410373,0.0,2.258089219196835,"Kohouti,slepice domácí živí,nad 185g","Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",0.35865862458106595,1426546072.0,1201415813.0,DEU,0.8421850766555544,0.16399234479700842,0.21939277262495208,0.02187268789451337,0.025971355347892362
20,CZE,10599,23178886.000000004,2022,1349,18,1,1.6386860903125862,1.0591484137023388,0.35250778919915143,1.299316789410373,0.0,8.508281879766605,"Kachny,husy,krocani,perličky ap domácí živí","Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0.3525077891991513,281248122.0,220096588.0,POL,0.7825708717087896,0.1110463996371713,0.14750762787705987,0.08241436719709014,0.10531233678188598
21,CZE,10611,360638.99999999994,2022,1349,9,0,1.6386860903125862,0.22889251941637448,0.23111740316276488,1.299316789410373,-0.004641317450489416,0.14939054304114982,Primáti,"Mammals: live, primates",0.23111740316276486,249223233.0,38733964.0,ESP,0.1554187526329056,0.16785043508587658,0.4521237331024157,0.001447052089240813,0.009310665957142934
